player_name,return_date,is_missing_tournament
Antoni Milambo,2026-08-01,1
Fábio Carvalho,2026-09-01,1
Stefanos Tzimas,2026-09-01,1
Josh Cullen,2026-10-01,1
Hugo Ekitiké,2026-12-31,1
Xavi Simons,2027-05-01,1
Juan Foyth,2026-08-31,1
Javi Puado,2026-09-01,1
Éder Militão,2026-09-01,1
Rodrygo,2026-09-30,1
Álvaro Odriozola,2026-11-30,1
Mateo Joseph,2027-02-01,1
Alessandro Zanoli,2026-07-28,1
Ivan Provedel,2026-08-31,1
Serge Gnabry,2026-07-20,1
Takumi Minamino,2026-08-01,1
Joaquín Panichelli,2026-12-31,1
Mohammed Al-Kunaydiri,2026-07-31,1
Abbas Al-Hassan,2026-08-16,1
Mohammed Harbush,2026-09-12,1
Mahamadou Doumbia,2026-12-31,1
Waleed Al-Ahmad,2026-12-31,1
Fahad Al-Abdulrazzaq,2026-12-31,1
Jan Faberski,2026-09-30,1
Jerdy Schouten,2027-05-01,1
Luuk de Jong,2026-09-30,1
Samu Aghehowa,2026-10-31,1
Majid Hosseini,2026-08-08,1
Khusniddin Alikulov,2026-10-19,1
